Long read DNA Sequencing table describes how the assay was performed - from Nucleic Acid Extraction to data generation,,,,,,,,,,,,,,,,,,,,,,,,,
OSD Number:,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,ProtocolREF,QA Instrument,QA Assay,QA Score,ProtocolREF,library selection,library layout,stranded,ProtocolREF,sequencing instrument,Basecaller Software,Basecaller Version,Modified Basecaller (if applicable),Modified Basecaller Version (if applicable),quality score,Kit Number,Calibration Spike-in,Sequenced Material,Flow Cell Pore,Assay Name,Raw Data File,ProtocolREF,Derived Data File,QC Files,Other
Sample names in the sample table and assay table should match exactly,Nucleic Acid Extraction,Instrument (e.g. BioAnalyzer),(eg. Agilent RNA 6000 Nano),Score for nucleic acid quality,Library Construction,"Whether any method was used to select for or against, enrich, or screen the material being sequenced.","specifies whether to expect single, paired, or other configuration of reads.",Indicate whether the library is strand-specific or not.,Nucleic Acid Sequencing,a parameter to report the sequencing instrument model and make,Name and version of the base or color calling software.,,,,Name and version of the quality scoring software.,kit catalog number as provided by Nanopore,True/False,or DNA; is it PCR-amplified DNA or direct-DNA,"Allows for versioning on the pores, for DNA between R9 and R10",GeneLab-defined name for an assay.,Name of the raw data file generated by an assay.,Sequence Analysis Data Transformation,Name of the processed data file generated by an assay,,Please add any other critical information not listed here by adding additional columns 
,Please describe the Nucleic Acid Extraction protocol here.,,,,Please describe the Library Construction protocol here.,,,,Please describe the Nucleic Acid Sequencing protocol here. Please include the Full Basecaller command here. The command will help specify whether there were any flags (such as —polyA) or other options that will affect the unaligned bam file,,,,,,,,,,,long read DNASeq,,Please describe the Sequence Analysis Data Transformation protocol here.,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
,,,,,,,,,,,,,,,,,,,,long read DNASeq,,,,,
